split,sample,source_image_id,source_file_name,sample_key,source_category,instruction,shapes,manual_check_required
train,train__002__-helmet_missing-39-_JPG.rf.98c620ec1f85d0c5066a057aaac8f5bd__helmet_missing,24,002__-helmet_missing-39-_JPG.rf.98c620ec1f85d0c5066a057aaac8f5bd.jpg,helmet_missing,helmet_missing,把没有做好头部防护、未戴安全帽的人分割出来。,5,False
train,train__004__IMG_20241113_161822_jpg.rf.e2a1d083d79064111706f07b165cfd18__safe,25,004__IMG_20241113_161822_jpg.rf.e2a1d083d79064111706f07b165cfd18.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,1,False
train,train__004__IMG20241113161959_jpg.rf.a4e696c4b432c53539bfbbd05af9d1e4__no_helmet,30,004__IMG20241113161959_jpg.rf.a4e696c4b432c53539bfbbd05af9d1e4.jpg,no_helmet,no helmet,把没有做好头部防护、未戴安全帽的人分割出来。,1,False
train,train__004__IMG_20241113_161428538_jpg.rf.9831f99a1097851707c745d36b25e70d__unsafe,31,004__IMG_20241113_161428538_jpg.rf.9831f99a1097851707c745d36b25e70d.jpg,unsafe,unsafe,请分割图中存在安全风险的目标区域。,4,False
train,train__004__IMG_20241113_161428538_jpg.rf.9831f99a1097851707c745d36b25e70d__no_helmet,31,004__IMG_20241113_161428538_jpg.rf.9831f99a1097851707c745d36b25e70d.jpg,no_helmet,no helmet,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,8,False
train,train__004__IMG20241113160949_jpg.rf.95c21822e57a33efc8e8c3d292c87eb8__safe,32,004__IMG20241113160949_jpg.rf.95c21822e57a33efc8e8c3d292c87eb8.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,4,False
train,train__004__IMG20241113160949_jpg.rf.95c21822e57a33efc8e8c3d292c87eb8__no_helmet,32,004__IMG20241113160949_jpg.rf.95c21822e57a33efc8e8c3d292c87eb8.jpg,no_helmet,no helmet,标出未按规定佩戴安全帽的作业人员。,1,False
train,train__002__-guardrail_missing-8-_jpg.rf.df4442fc856279c8bcb28942ec3b7b74__guardrail_missing,34,002__-guardrail_missing-8-_jpg.rf.df4442fc856279c8bcb28942ec3b7b74.jpg,guardrail_missing,guardrail_missing,把缺少栏杆防护、存在坠落风险的部位分割出来。,6,False
train,train__004__IMG_20241113_162216764_jpg.rf.89bc33fd9a344a8e85d8b29f08c0cd22__no_jacket,36,004__IMG_20241113_162216764_jpg.rf.89bc33fd9a344a8e85d8b29f08c0cd22.jpg,no_jacket,no jacket,现场哪些人员没有穿安全背心?请分割出来。,1,False
train,train__004__IMG_20241113_162216764_jpg.rf.89bc33fd9a344a8e85d8b29f08c0cd22__no_helmet,36,004__IMG_20241113_162216764_jpg.rf.89bc33fd9a344a8e85d8b29f08c0cd22.jpg,no_helmet,no helmet,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,1,False
train,train__004__IMG20241113161736_jpg.rf.8a788dc1ad775af89e2963194d133883__safe,39,004__IMG20241113161736_jpg.rf.8a788dc1ad775af89e2963194d133883.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,1,False
train,train__002__-opening_unprotected-68-_jpg.rf.6e063eb2e54b9d9fa195f2b947375953__opening_unprotected,40,002__-opening_unprotected-68-_jpg.rf.6e063eb2e54b9d9fa195f2b947375953.jpg,opening_unprotected,opening_unprotected,标出存在洞口未防护隐患的位置。,68,False
train,train__002__-opening_unprotected-85-_JPG.rf.e0eae5a54d32f02608eb68d5b2a6be42__opening_unprotected,41,002__-opening_unprotected-85-_JPG.rf.e0eae5a54d32f02608eb68d5b2a6be42.jpg,opening_unprotected,opening_unprotected,图中哪些洞口或临边没有做防护?请分割出来。,18,False
train,train__004__IMG_20241113_161958873_jpg.rf.8462261e3c7010ff1339488e963a471f__no_helmet,42,004__IMG_20241113_161958873_jpg.rf.8462261e3c7010ff1339488e963a471f.jpg,no_helmet,no helmet,圈出图中没有佩戴安全帽的工人。,1,False
train,train__004__IMG20241113161548_jpg.rf.0e98b481240e8114eb9bda9cb0b665dd__safe,43,004__IMG20241113161548_jpg.rf.0e98b481240e8114eb9bda9cb0b665dd.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,1,False
train,train__004__IMG20241113162109_jpg.rf.993b7820fcfc13badab4746e2beca33a__no_jacket,45,004__IMG20241113162109_jpg.rf.993b7820fcfc13badab4746e2beca33a.jpg,no_jacket,no jacket,把缺少反光衣防护的作业人员分割出来。,2,False
train,train__004__IMG20241113162109_jpg.rf.993b7820fcfc13badab4746e2beca33a__unsafe,45,004__IMG20241113162109_jpg.rf.993b7820fcfc13badab4746e2beca33a.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,6,False
train,train__004__IMG20241113162038_jpg.rf.3d21f218563d2703fb24b73daf285049__unsafe,46,004__IMG20241113162038_jpg.rf.3d21f218563d2703fb24b73daf285049.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,1,False
train,train__002__-helmet_missing-37-_JPG.rf.016464b786fd4bf779741dfba1a065c1__helmet_missing,47,002__-helmet_missing-37-_JPG.rf.016464b786fd4bf779741dfba1a065c1.jpg,helmet_missing,helmet_missing,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,1,False
train,train__002__-guardrail_missing-67-_jpg.rf.26a3a1fc1fe9062113aa8901e8aa7632__guardrail_missing,49,002__-guardrail_missing-67-_jpg.rf.26a3a1fc1fe9062113aa8901e8aa7632.jpg,guardrail_missing,guardrail_missing,图中哪些位置存在防护栏杆缺失隐患?请分割出来。,1,False
train,train__002__-equipment_proximity-162-_jpg.rf.ef4ba03daa6d2bb4477612a82d9f6225__equipment_proximity,50,002__-equipment_proximity-162-_jpg.rf.ef4ba03daa6d2bb4477612a82d9f6225.jpg,equipment_proximity,equipment_proximity,标出人员或设备距离过近、存在碰撞风险的区域。,8,False
train,train__002__-poor_housekeeping-55-_jpg.rf.092308d93bb073af9af3c47283c0bf3d__poor_housekeeping,53,002__-poor_housekeeping-55-_jpg.rf.092308d93bb073af9af3c47283c0bf3d.jpg,poor_housekeeping,poor_housekeeping,图中哪些区域存在场地整理不到位的安全隐患?请分割出来。,1,False
train,train__004__IMG_20241113_161423_jpg.rf.956be9eb91ee09e1d401cc6643396f8e__unsafe,55,004__IMG_20241113_161423_jpg.rf.956be9eb91ee09e1d401cc6643396f8e.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,4,False
train,train__004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503__safe,57,004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503.jpg,safe,safe,请分割图中符合安全要求的目标区域。,1,False
train,train__004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503__unsafe,57,004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,1,False
train,train__004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503__no_helmet,57,004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503.jpg,no_helmet,no helmet,把没有做好头部防护、未戴安全帽的人分割出来。,2,False
train,train__004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503__no_jacket,57,004__IMG20241113160731_jpg.rf.b813bf8dd2d6f0108e00d1b798136503.jpg,no_jacket,no jacket,圈出没有穿反光衣或安全背心的作业人员。,2,False
train,train__002__-guardrail_missing-101-_jpg.rf.311dd1a22327714aa6d3b5e1fd4a1e2b__guardrail_missing,59,002__-guardrail_missing-101-_jpg.rf.311dd1a22327714aa6d3b5e1fd4a1e2b.jpg,guardrail_missing,guardrail_missing,图中哪些位置存在防护栏杆缺失隐患?请分割出来。,79,False
train,train__004__IMG20241113161956_jpg.rf.2cd9e7e6dc961ff44b777d932d0b86cf__safe,62,004__IMG20241113161956_jpg.rf.2cd9e7e6dc961ff44b777d932d0b86cf.jpg,safe,safe,请分割图中符合安全要求的目标区域。,4,False
train,train__004__IMG20241113161810_jpg.rf.c91d3d45167d8e33e7647d93988a287b__no_jacket,63,004__IMG20241113161810_jpg.rf.c91d3d45167d8e33e7647d93988a287b.jpg,no_jacket,no jacket,现场哪些人员没有穿安全背心?请分割出来。,1,False
train,train__002__-equipment_proximity-7-_jpg.rf.f16edc9d74655a839b50847456394522__equipment_proximity,64,002__-equipment_proximity-7-_jpg.rf.f16edc9d74655a839b50847456394522.jpg,equipment_proximity,equipment_proximity,图中哪些位置存在设备靠近人员的安全隐患?请分割出来。,4,False
train,train__002__-guardrail_missing-122-_JPG.rf.accb3ce31ac23ddc6942b510ce80f611__guardrail_missing,65,002__-guardrail_missing-122-_JPG.rf.accb3ce31ac23ddc6942b510ce80f611.jpg,guardrail_missing,guardrail_missing,指出没有设置防护栏杆的临边区域。,1,False
train,train__004__IMG_20241113_161521_jpg.rf.a89e6584f1604d834c36047d3f5db173__no_helmet,68,004__IMG_20241113_161521_jpg.rf.a89e6584f1604d834c36047d3f5db173.jpg,no_helmet,no helmet,圈出图中没有佩戴安全帽的工人。,2,False
train,train__004__IMG_20241113_161521_jpg.rf.a89e6584f1604d834c36047d3f5db173__unsafe,68,004__IMG_20241113_161521_jpg.rf.a89e6584f1604d834c36047d3f5db173.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,3,False
train,train__004__IMG_20241113_162223582_jpg.rf.9fdd9b8a1bcc51b601a058bf7a518723__no_jacket,69,004__IMG_20241113_162223582_jpg.rf.9fdd9b8a1bcc51b601a058bf7a518723.jpg,no_jacket,no jacket,标出未按要求穿戴反光背心的工人。,1,False
train,train__004__IMG_20241113_162223582_jpg.rf.9fdd9b8a1bcc51b601a058bf7a518723__no_helmet,69,004__IMG_20241113_162223582_jpg.rf.9fdd9b8a1bcc51b601a058bf7a518723.jpg,no_helmet,no helmet,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,1,False
train,train__002__-poor_housekeeping-34-_jpg.rf.fe7b2da09bad6f7bba8d81be95e7e78c__poor_housekeeping,70,002__-poor_housekeeping-34-_jpg.rf.fe7b2da09bad6f7bba8d81be95e7e78c.jpg,poor_housekeeping,poor_housekeeping,标出现场材料堆放混乱或文明施工不到位的区域。,1,False
train,train__002__-guardrail_missing-110-_jpg.rf.afb0efe2cae1594326860ee8756d6520__guardrail_missing,71,002__-guardrail_missing-110-_jpg.rf.afb0efe2cae1594326860ee8756d6520.jpg,guardrail_missing,guardrail_missing,指出没有设置防护栏杆的临边区域。,2,False
train,train__004__IMG_20241113_161357_jpg.rf.decad51e74f9ee3b80b04b56d3447a98__safe,72,004__IMG_20241113_161357_jpg.rf.decad51e74f9ee3b80b04b56d3447a98.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,1,False
train,train__004__IMG_20241113_161357_jpg.rf.decad51e74f9ee3b80b04b56d3447a98__no_helmet,72,004__IMG_20241113_161357_jpg.rf.decad51e74f9ee3b80b04b56d3447a98.jpg,no_helmet,no helmet,把没有做好头部防护、未戴安全帽的人分割出来。,1,False
train,train__004__IMG_20241113_161357_jpg.rf.decad51e74f9ee3b80b04b56d3447a98__unsafe,72,004__IMG_20241113_161357_jpg.rf.decad51e74f9ee3b80b04b56d3447a98.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,1,False
train,train__004__IMG_20241113_161959_jpg.rf.1047c1e4d32597d86067cc361bbb902c__no_helmet,75,004__IMG_20241113_161959_jpg.rf.1047c1e4d32597d86067cc361bbb902c.jpg,no_helmet,no helmet,把没有做好头部防护、未戴安全帽的人分割出来。,2,False
train,train__004__IMG_20241113_161810_jpg.rf.97a18130578a557ac2e2f8a4545726a7__no_jacket,77,004__IMG_20241113_161810_jpg.rf.97a18130578a557ac2e2f8a4545726a7.jpg,no_jacket,no jacket,现场哪些人员没有穿安全背心?请分割出来。,3,False
train,train__002__-opening_unprotected-91-_JPG.rf.94f49a21e5f4aa6a37d3ceee8f69c538__opening_unprotected,79,002__-opening_unprotected-91-_JPG.rf.94f49a21e5f4aa6a37d3ceee8f69c538.jpg,opening_unprotected,opening_unprotected,标出存在洞口未防护隐患的位置。,72,False
train,train__004__IMG20241113161947_jpg.rf.aa908a034fe617347ca72831cbb20937__safe,80,004__IMG20241113161947_jpg.rf.aa908a034fe617347ca72831cbb20937.jpg,safe,safe,标出现场处于安全状态的目标。,1,False
train,train__004__IMG20241113161947_jpg.rf.aa908a034fe617347ca72831cbb20937__unsafe,80,004__IMG20241113161947_jpg.rf.aa908a034fe617347ca72831cbb20937.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,2,False
train,train__004__IMG_20241113_162137_jpg.rf.0d3ebd0335de04e76fb82678b116cd44__unsafe,82,004__IMG_20241113_162137_jpg.rf.0d3ebd0335de04e76fb82678b116cd44.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,1,False
train,train__002__-equipment_proximity-139-_jpg.rf.b7170ac3276e6d3b2acc80fe9a86068a__equipment_proximity,83,002__-equipment_proximity-139-_jpg.rf.b7170ac3276e6d3b2acc80fe9a86068a.jpg,equipment_proximity,equipment_proximity,图中哪些位置存在设备靠近人员的安全隐患?请分割出来。,8,False
train,train__004__IMG20241113160932_jpg.rf.615fecaf710e0ecb38e210de4df149d0__safe,84,004__IMG20241113160932_jpg.rf.615fecaf710e0ecb38e210de4df149d0.jpg,safe,safe,标出现场处于安全状态的目标。,1,False
train,train__004__IMG_20241113_161342_jpg.rf.50f4f2452e3a75644e9f0a3a10a3a815__no_helmet,85,004__IMG_20241113_161342_jpg.rf.50f4f2452e3a75644e9f0a3a10a3a815.jpg,no_helmet,no helmet,圈出图中没有佩戴安全帽的工人。,2,False
train,train__004__IMG_20241113_161342_jpg.rf.50f4f2452e3a75644e9f0a3a10a3a815__no_jacket,85,004__IMG_20241113_161342_jpg.rf.50f4f2452e3a75644e9f0a3a10a3a815.jpg,no_jacket,no jacket,标出未按要求穿戴反光背心的工人。,50,False
train,train__002__-opening_unprotected-82-_JPG.rf.dab4ea26d63bf58dbe34cb8996e103b3__opening_unprotected,86,002__-opening_unprotected-82-_JPG.rf.dab4ea26d63bf58dbe34cb8996e103b3.jpg,opening_unprotected,opening_unprotected,标出存在洞口未防护隐患的位置。,1,False
train,train__004__IMG_20241113_162002082_jpg.rf.d9db7cd20ffc107058682cd3ab37e388__no_helmet,88,004__IMG_20241113_162002082_jpg.rf.d9db7cd20ffc107058682cd3ab37e388.jpg,no_helmet,no helmet,标出未按规定佩戴安全帽的作业人员。,1,False
train,train__002__-guardrail_missing-50-_jpg.rf.3e13904f4c37db016464e381a9be47ed__guardrail_missing,90,002__-guardrail_missing-50-_jpg.rf.3e13904f4c37db016464e381a9be47ed.jpg,guardrail_missing,guardrail_missing,把缺少栏杆防护、存在坠落风险的部位分割出来。,2,False
train,train__004__IMG_20241113_161938460_jpg.rf.e230b0f5fefe8dd784209ff21196fab7__unsafe,91,004__IMG_20241113_161938460_jpg.rf.e230b0f5fefe8dd784209ff21196fab7.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,1,False
train,train__002__-harness_missing-31-_JPG.rf.304e9c2a7dc42b50d79e5f1ea0ccf888__harness_missing,92,002__-harness_missing-31-_JPG.rf.304e9c2a7dc42b50d79e5f1ea0ccf888.jpg,harness_missing,harness_missing,现场哪些工人存在未系安全带的高处作业风险?请分割出来。,15,False
train,train__002__-helmet_missing-52-_JPG.rf.7cb8ab4de6472ba59711086d0957bfb3__helmet_missing,93,002__-helmet_missing-52-_JPG.rf.7cb8ab4de6472ba59711086d0957bfb3.jpg,helmet_missing,helmet_missing,标出未按规定佩戴安全帽的作业人员。,4,False
train,train__004__IMG20241113161951_jpg.rf.7c1da1ad7477317d506c42a3dd48c1af__safe,94,004__IMG20241113161951_jpg.rf.7c1da1ad7477317d506c42a3dd48c1af.jpg,safe,safe,请分割图中符合安全要求的目标区域。,1,False
train,train__004__IMG20241113161951_jpg.rf.7c1da1ad7477317d506c42a3dd48c1af__unsafe,94,004__IMG20241113161951_jpg.rf.7c1da1ad7477317d506c42a3dd48c1af.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,3,False
train,train__002__-poor_housekeeping-18-_jpg.rf.292b90b001f5dc543aa90c536bee71d3__poor_housekeeping,95,002__-poor_housekeeping-18-_jpg.rf.292b90b001f5dc543aa90c536bee71d3.jpg,poor_housekeeping,poor_housekeeping,标出现场材料堆放混乱或文明施工不到位的区域。,36,False
train,train__004__IMG20241113161143_jpg.rf.90d1f31c75efe6a01f88aefa85ce9c0f__no_jacket,97,004__IMG20241113161143_jpg.rf.90d1f31c75efe6a01f88aefa85ce9c0f.jpg,no_jacket,no jacket,标出未按要求穿戴反光背心的工人。,1,False
train,train__004__IMG20241113161143_jpg.rf.90d1f31c75efe6a01f88aefa85ce9c0f__unsafe,97,004__IMG20241113161143_jpg.rf.90d1f31c75efe6a01f88aefa85ce9c0f.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,7,False
train,train__004__IMG20241113162005_jpg.rf.e56797993b1f9274ff6dc2902d7f342f__no_helmet,99,004__IMG20241113162005_jpg.rf.e56797993b1f9274ff6dc2902d7f342f.jpg,no_helmet,no helmet,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,1,False
train,train__004__IMG20241113162005_jpg.rf.e56797993b1f9274ff6dc2902d7f342f__unsafe,99,004__IMG20241113162005_jpg.rf.e56797993b1f9274ff6dc2902d7f342f.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,2,False
train,train__002__-poor_housekeeping-124-_jpg.rf.945fed69343cdffeb603d99db60fea71__poor_housekeeping,101,002__-poor_housekeeping-124-_jpg.rf.945fed69343cdffeb603d99db60fea71.jpg,poor_housekeeping,poor_housekeeping,圈出施工现场杂乱、可能影响通行安全的位置。,1,False
train,train__004__IMG20241113160433_jpg.rf.2ddc97b42cbb35694089511ac7fd5762__no_jacket,102,004__IMG20241113160433_jpg.rf.2ddc97b42cbb35694089511ac7fd5762.jpg,no_jacket,no jacket,圈出没有穿反光衣或安全背心的作业人员。,7,False
train,train__004__IMG20241113160433_jpg.rf.2ddc97b42cbb35694089511ac7fd5762__unsafe,102,004__IMG20241113160433_jpg.rf.2ddc97b42cbb35694089511ac7fd5762.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,1,False
train,train__004__IMG20241113160433_jpg.rf.2ddc97b42cbb35694089511ac7fd5762__no_helmet,102,004__IMG20241113160433_jpg.rf.2ddc97b42cbb35694089511ac7fd5762.jpg,no_helmet,no helmet,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,11,False
train,train__004__IMG20241113161043_jpg.rf.ea766b3629c27b827a8f362f2a866321__no_jacket,103,004__IMG20241113161043_jpg.rf.ea766b3629c27b827a8f362f2a866321.jpg,no_jacket,no jacket,标出未按要求穿戴反光背心的工人。,7,False
train,train__004__IMG20241113161043_jpg.rf.ea766b3629c27b827a8f362f2a866321__unsafe,103,004__IMG20241113161043_jpg.rf.ea766b3629c27b827a8f362f2a866321.jpg,unsafe,unsafe,请分割图中存在安全风险的目标区域。,2,False
train,train__002__-opening_unprotected-96-_jpg.rf.b4d0accdfdfb801fb205596a36d68285__opening_unprotected,104,002__-opening_unprotected-96-_jpg.rf.b4d0accdfdfb801fb205596a36d68285.jpg,opening_unprotected,opening_unprotected,把缺少防护、可能导致坠落的开口区域分割出来。,22,False
train,train__002__-helmet_missing-204-_JPG.rf.48229cfaf70e451ee0e51d538cb2a310__helmet_missing,105,002__-helmet_missing-204-_JPG.rf.48229cfaf70e451ee0e51d538cb2a310.jpg,helmet_missing,helmet_missing,把没有做好头部防护、未戴安全帽的人分割出来。,3,False
train,train__002__-equipment_proximity-119-_jpg.rf.609beb2b79f926977d99b22c96cc8d1d__equipment_proximity,106,002__-equipment_proximity-119-_jpg.rf.609beb2b79f926977d99b22c96cc8d1d.jpg,equipment_proximity,equipment_proximity,图中哪些位置存在设备靠近人员的安全隐患?请分割出来。,1,False
train,train__002__-guardrail_missing-3-_jpg.rf.fb533ab07eae9f7ef9b7b05cbbde9caf__guardrail_missing,107,002__-guardrail_missing-3-_jpg.rf.fb533ab07eae9f7ef9b7b05cbbde9caf.jpg,guardrail_missing,guardrail_missing,把缺少栏杆防护、存在坠落风险的部位分割出来。,3,False
train,train__004__IMG20241113160459_jpg.rf.40cc0430074ff867f9210a4d32c31215__safe,108,004__IMG20241113160459_jpg.rf.40cc0430074ff867f9210a4d32c31215.jpg,safe,safe,圈出图中被标注为安全状态的作业人员或区域。,2,False
train,train__004__IMG20241113160459_jpg.rf.40cc0430074ff867f9210a4d32c31215__unsafe,108,004__IMG20241113160459_jpg.rf.40cc0430074ff867f9210a4d32c31215.jpg,unsafe,unsafe,标出现场存在不安全状态的目标。,4,False
train,train__004__IMG_20241113_162200984_jpg.rf.631bae17c158348bd43df1a1346f8718__unsafe,110,004__IMG_20241113_162200984_jpg.rf.631bae17c158348bd43df1a1346f8718.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,2,False
train,train__004__IMG_20241113_161455_jpg.rf.7a7de4b3e78929f277f3e7f68a851e6d__unsafe,111,004__IMG_20241113_161455_jpg.rf.7a7de4b3e78929f277f3e7f68a851e6d.jpg,unsafe,unsafe,圈出图中被标注为不安全状态的作业人员或区域。,5,False
train,train__002__-helmet_missing-186-_JPG.rf.1726c9b2b327f55efc9866f57d46df0e__helmet_missing,112,002__-helmet_missing-186-_JPG.rf.1726c9b2b327f55efc9866f57d46df0e.jpg,helmet_missing,helmet_missing,现场哪些人员存在未戴安全帽的安全隐患?请分割出来。,1,False
train,train__004__IMG_20241113_161413_jpg.rf.8d41a8bbd0beb87aa278c1ffd0e36f25__no_helmet,114,004__IMG_20241113_161413_jpg.rf.8d41a8bbd0beb87aa278c1ffd0e36f25.jpg,no_helmet,no helmet,把没有做好头部防护、未戴安全帽的人分割出来。,1,False
