sample_index,mask_index,image,prompt,is_sentence,iou,dice,precision,recall,intersection,union,pred_area,target_area,valid_area,false_positive_area,false_negative_area,pred_mask_path,visualization_path,visualization_label_path
32,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-38-_JPG.rf.8d0b9ba5443d25d708e64d1fb9661913__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,58519,0,58519,262144,0,58519,exp/runs/lisa13b-local-train/outputs/pred_masks/00032_train__002__-equipment_proximity-38-_JPG.rf.8d0b9ba5443d25d708e64d1fb9661913__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00032_train__002__-equipment_proximity-38-_JPG.rf.8d0b9ba5443d25d708e64d1fb9661913__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00032_train__002__-equipment_proximity-38-_JPG.rf.8d0b9ba5443d25d708e64d1fb9661913__equipment_proximity_mask0.txt
40,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-65-_jpg.rf.8446947c6c0bc7e15341b983d473d367__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,23902,16153,7749,262144,16153,7749,exp/runs/lisa13b-local-train/outputs/pred_masks/00040_train__002__-equipment_proximity-65-_jpg.rf.8446947c6c0bc7e15341b983d473d367__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00040_train__002__-equipment_proximity-65-_jpg.rf.8446947c6c0bc7e15341b983d473d367__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00040_train__002__-equipment_proximity-65-_jpg.rf.8446947c6c0bc7e15341b983d473d367__equipment_proximity_mask0.txt
43,0,./dataset/reason_seg/ReasonSeg/train/train__002__-equipment_proximity-83-_jpg.rf.eac2df4fd29d1b4a99b66c439bd94bbf__equipment_proximity.jpg,标出人员或设备距离过近、存在碰撞风险的区域。,True,0.0,0.0,0.0,0.0,0,65165,930,64235,262144,930,64235,exp/runs/lisa13b-local-train/outputs/pred_masks/00043_train__002__-equipment_proximity-83-_jpg.rf.eac2df4fd29d1b4a99b66c439bd94bbf__equipment_proximity_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00043_train__002__-equipment_proximity-83-_jpg.rf.eac2df4fd29d1b4a99b66c439bd94bbf__equipment_proximity_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00043_train__002__-equipment_proximity-83-_jpg.rf.eac2df4fd29d1b4a99b66c439bd94bbf__equipment_proximity_mask0.txt
48,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-101-_jpg.rf.311dd1a22327714aa6d3b5e1fd4a1e2b__guardrail_missing.jpg,图中哪些位置存在防护栏杆缺失隐患?请分割出来。,True,0.0,0.0,0.0,0.0,0,132167,53710,78457,262144,53710,78457,exp/runs/lisa13b-local-train/outputs/pred_masks/00048_train__002__-guardrail_missing-101-_jpg.rf.311dd1a22327714aa6d3b5e1fd4a1e2b__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00048_train__002__-guardrail_missing-101-_jpg.rf.311dd1a22327714aa6d3b5e1fd4a1e2b__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00048_train__002__-guardrail_missing-101-_jpg.rf.311dd1a22327714aa6d3b5e1fd4a1e2b__guardrail_missing_mask0.txt
50,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-103-_jpg.rf.a2928f1beb5f4131d39ad26e27ecd91d__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,65738,50864,14874,262144,50864,14874,exp/runs/lisa13b-local-train/outputs/pred_masks/00050_train__002__-guardrail_missing-103-_jpg.rf.a2928f1beb5f4131d39ad26e27ecd91d__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00050_train__002__-guardrail_missing-103-_jpg.rf.a2928f1beb5f4131d39ad26e27ecd91d__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00050_train__002__-guardrail_missing-103-_jpg.rf.a2928f1beb5f4131d39ad26e27ecd91d__guardrail_missing_mask0.txt
51,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-105-_jpg.rf.f6952d158d5a8a89c9b485999893885b__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,27845,20634,7211,262144,20634,7211,exp/runs/lisa13b-local-train/outputs/pred_masks/00051_train__002__-guardrail_missing-105-_jpg.rf.f6952d158d5a8a89c9b485999893885b__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00051_train__002__-guardrail_missing-105-_jpg.rf.f6952d158d5a8a89c9b485999893885b__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00051_train__002__-guardrail_missing-105-_jpg.rf.f6952d158d5a8a89c9b485999893885b__guardrail_missing_mask0.txt
54,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-11-_jpg.rf.09c38a352cbc6498836136b367bcddde__guardrail_missing.jpg,标出缺少防护栏杆的区域。,True,0.0,0.0,0.0,0.0,0,19068,2954,16114,262144,2954,16114,exp/runs/lisa13b-local-train/outputs/pred_masks/00054_train__002__-guardrail_missing-11-_jpg.rf.09c38a352cbc6498836136b367bcddde__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00054_train__002__-guardrail_missing-11-_jpg.rf.09c38a352cbc6498836136b367bcddde__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00054_train__002__-guardrail_missing-11-_jpg.rf.09c38a352cbc6498836136b367bcddde__guardrail_missing_mask0.txt
55,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-110-_jpg.rf.afb0efe2cae1594326860ee8756d6520__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,29128,19949,9179,262144,19949,9179,exp/runs/lisa13b-local-train/outputs/pred_masks/00055_train__002__-guardrail_missing-110-_jpg.rf.afb0efe2cae1594326860ee8756d6520__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00055_train__002__-guardrail_missing-110-_jpg.rf.afb0efe2cae1594326860ee8756d6520__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00055_train__002__-guardrail_missing-110-_jpg.rf.afb0efe2cae1594326860ee8756d6520__guardrail_missing_mask0.txt
56,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-118-_jpg.rf.24d5a8a40e248a3f83b7a4311e92a744__guardrail_missing.jpg,把缺少栏杆防护、存在坠落风险的部位分割出来。,True,0.0,0.0,0.0,0.0,0,128608,49723,78885,262144,49723,78885,exp/runs/lisa13b-local-train/outputs/pred_masks/00056_train__002__-guardrail_missing-118-_jpg.rf.24d5a8a40e248a3f83b7a4311e92a744__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00056_train__002__-guardrail_missing-118-_jpg.rf.24d5a8a40e248a3f83b7a4311e92a744__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00056_train__002__-guardrail_missing-118-_jpg.rf.24d5a8a40e248a3f83b7a4311e92a744__guardrail_missing_mask0.txt
57,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-122-_JPG.rf.accb3ce31ac23ddc6942b510ce80f611__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,47876,44745,3131,262144,44745,3131,exp/runs/lisa13b-local-train/outputs/pred_masks/00057_train__002__-guardrail_missing-122-_JPG.rf.accb3ce31ac23ddc6942b510ce80f611__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00057_train__002__-guardrail_missing-122-_JPG.rf.accb3ce31ac23ddc6942b510ce80f611__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00057_train__002__-guardrail_missing-122-_JPG.rf.accb3ce31ac23ddc6942b510ce80f611__guardrail_missing_mask0.txt
58,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249__guardrail_missing.jpg,标出缺少防护栏杆的区域。,True,0.0,0.0,0.0,0.0,0,8897,1736,7161,262144,1736,7161,exp/runs/lisa13b-local-train/outputs/pred_masks/00058_train__002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00058_train__002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00058_train__002__-guardrail_missing-125-_JPG.rf.c5c6a25b5bb091162b938194d236d249__guardrail_missing_mask0.txt
61,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-134-_jpg.rf.27f1f5ed0e901e07f02afe7c85a092c5__guardrail_missing.jpg,图中哪些位置存在防护栏杆缺失隐患?请分割出来。,True,0.0,0.0,0.0,0.0,0,65485,55337,10148,262144,55337,10148,exp/runs/lisa13b-local-train/outputs/pred_masks/00061_train__002__-guardrail_missing-134-_jpg.rf.27f1f5ed0e901e07f02afe7c85a092c5__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00061_train__002__-guardrail_missing-134-_jpg.rf.27f1f5ed0e901e07f02afe7c85a092c5__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00061_train__002__-guardrail_missing-134-_jpg.rf.27f1f5ed0e901e07f02afe7c85a092c5__guardrail_missing_mask0.txt
62,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-135-_jpg.rf.8c59bbb77186b467d3a231e87ba85339__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,6682,138,6544,262144,138,6544,exp/runs/lisa13b-local-train/outputs/pred_masks/00062_train__002__-guardrail_missing-135-_jpg.rf.8c59bbb77186b467d3a231e87ba85339__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00062_train__002__-guardrail_missing-135-_jpg.rf.8c59bbb77186b467d3a231e87ba85339__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00062_train__002__-guardrail_missing-135-_jpg.rf.8c59bbb77186b467d3a231e87ba85339__guardrail_missing_mask0.txt
63,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-138-_jpg.rf.b6b2dc18f84d3245e247f5487e5107f8__guardrail_missing.jpg,标出缺少防护栏杆的区域。,True,0.0,0.0,0.0,0.0,0,41121,20624,20497,262144,20624,20497,exp/runs/lisa13b-local-train/outputs/pred_masks/00063_train__002__-guardrail_missing-138-_jpg.rf.b6b2dc18f84d3245e247f5487e5107f8__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00063_train__002__-guardrail_missing-138-_jpg.rf.b6b2dc18f84d3245e247f5487e5107f8__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00063_train__002__-guardrail_missing-138-_jpg.rf.b6b2dc18f84d3245e247f5487e5107f8__guardrail_missing_mask0.txt
64,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-142-_jpg.rf.7f21405f5088c419df98f73c173abc8a__guardrail_missing.jpg,把缺少栏杆防护、存在坠落风险的部位分割出来。,True,0.0,0.0,0.0,0.0,0,9000,3965,5035,262144,3965,5035,exp/runs/lisa13b-local-train/outputs/pred_masks/00064_train__002__-guardrail_missing-142-_jpg.rf.7f21405f5088c419df98f73c173abc8a__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00064_train__002__-guardrail_missing-142-_jpg.rf.7f21405f5088c419df98f73c173abc8a__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00064_train__002__-guardrail_missing-142-_jpg.rf.7f21405f5088c419df98f73c173abc8a__guardrail_missing_mask0.txt
66,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-15-_jpg.rf.f6d48022ae8fff251a6c1feb4141bca5__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,51855,2779,49076,262144,2779,49076,exp/runs/lisa13b-local-train/outputs/pred_masks/00066_train__002__-guardrail_missing-15-_jpg.rf.f6d48022ae8fff251a6c1feb4141bca5__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00066_train__002__-guardrail_missing-15-_jpg.rf.f6d48022ae8fff251a6c1feb4141bca5__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00066_train__002__-guardrail_missing-15-_jpg.rf.f6d48022ae8fff251a6c1feb4141bca5__guardrail_missing_mask0.txt
72,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-28-_jpg.rf.b1f4bc210d341d5560432529b3a0db6d__guardrail_missing.jpg,标出缺少防护栏杆的区域。,True,0.0,0.0,0.0,0.0,0,48630,5796,42834,262144,5796,42834,exp/runs/lisa13b-local-train/outputs/pred_masks/00072_train__002__-guardrail_missing-28-_jpg.rf.b1f4bc210d341d5560432529b3a0db6d__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00072_train__002__-guardrail_missing-28-_jpg.rf.b1f4bc210d341d5560432529b3a0db6d__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00072_train__002__-guardrail_missing-28-_jpg.rf.b1f4bc210d341d5560432529b3a0db6d__guardrail_missing_mask0.txt
76,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-38-_JPG.rf.abb7609d63087131cb85c745ebe74e1c__guardrail_missing.jpg,把缺少栏杆防护、存在坠落风险的部位分割出来。,True,0.0,0.0,0.0,0.0,0,58287,56425,1862,262144,56425,1862,exp/runs/lisa13b-local-train/outputs/pred_masks/00076_train__002__-guardrail_missing-38-_JPG.rf.abb7609d63087131cb85c745ebe74e1c__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00076_train__002__-guardrail_missing-38-_JPG.rf.abb7609d63087131cb85c745ebe74e1c__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00076_train__002__-guardrail_missing-38-_JPG.rf.abb7609d63087131cb85c745ebe74e1c__guardrail_missing_mask0.txt
83,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-50-_jpg.rf.3e13904f4c37db016464e381a9be47ed__guardrail_missing.jpg,把缺少栏杆防护、存在坠落风险的部位分割出来。,True,0.0,0.0,0.0,0.0,0,109186,53198,55988,262144,53198,55988,exp/runs/lisa13b-local-train/outputs/pred_masks/00083_train__002__-guardrail_missing-50-_jpg.rf.3e13904f4c37db016464e381a9be47ed__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00083_train__002__-guardrail_missing-50-_jpg.rf.3e13904f4c37db016464e381a9be47ed__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00083_train__002__-guardrail_missing-50-_jpg.rf.3e13904f4c37db016464e381a9be47ed__guardrail_missing_mask0.txt
84,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-54-_jpg.rf.6914b0bbd14e288c65cfb05f71650dc9__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,33132,17657,15475,262144,17657,15475,exp/runs/lisa13b-local-train/outputs/pred_masks/00084_train__002__-guardrail_missing-54-_jpg.rf.6914b0bbd14e288c65cfb05f71650dc9__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00084_train__002__-guardrail_missing-54-_jpg.rf.6914b0bbd14e288c65cfb05f71650dc9__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00084_train__002__-guardrail_missing-54-_jpg.rf.6914b0bbd14e288c65cfb05f71650dc9__guardrail_missing_mask0.txt
85,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-6-_jpg.rf.2587b0652740722f74570e0a864216c0__guardrail_missing.jpg,标出缺少防护栏杆的区域。,True,0.0,0.0,0.0,0.0,0,82668,61370,21298,262144,61370,21298,exp/runs/lisa13b-local-train/outputs/pred_masks/00085_train__002__-guardrail_missing-6-_jpg.rf.2587b0652740722f74570e0a864216c0__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00085_train__002__-guardrail_missing-6-_jpg.rf.2587b0652740722f74570e0a864216c0__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00085_train__002__-guardrail_missing-6-_jpg.rf.2587b0652740722f74570e0a864216c0__guardrail_missing_mask0.txt
90,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-68-_jpg.rf.db395d585a617c17c62be480349134f1__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,39876,24443,15433,262144,24443,15433,exp/runs/lisa13b-local-train/outputs/pred_masks/00090_train__002__-guardrail_missing-68-_jpg.rf.db395d585a617c17c62be480349134f1__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00090_train__002__-guardrail_missing-68-_jpg.rf.db395d585a617c17c62be480349134f1__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00090_train__002__-guardrail_missing-68-_jpg.rf.db395d585a617c17c62be480349134f1__guardrail_missing_mask0.txt
93,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-74-_jpg.rf.2bb775af0508e78ab1e8836583869aa4__guardrail_missing.jpg,指出没有设置防护栏杆的临边区域。,True,0.0,0.0,0.0,0.0,0,57070,39256,17814,262144,39256,17814,exp/runs/lisa13b-local-train/outputs/pred_masks/00093_train__002__-guardrail_missing-74-_jpg.rf.2bb775af0508e78ab1e8836583869aa4__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00093_train__002__-guardrail_missing-74-_jpg.rf.2bb775af0508e78ab1e8836583869aa4__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00093_train__002__-guardrail_missing-74-_jpg.rf.2bb775af0508e78ab1e8836583869aa4__guardrail_missing_mask0.txt
95,0,./dataset/reason_seg/ReasonSeg/train/train__002__-guardrail_missing-76-_jpg.rf.33e758df448a9dfe26f778b35004dd9e__guardrail_missing.jpg,标出缺少防护栏杆的区域。,True,0.0,0.0,0.0,0.0,0,110593,108132,2461,262144,108132,2461,exp/runs/lisa13b-local-train/outputs/pred_masks/00095_train__002__-guardrail_missing-76-_jpg.rf.33e758df448a9dfe26f778b35004dd9e__guardrail_missing_mask0.png,exp/runs/lisa13b-local-train/outputs/visualizations/00095_train__002__-guardrail_missing-76-_jpg.rf.33e758df448a9dfe26f778b35004dd9e__guardrail_missing_mask0.jpg,exp/runs/lisa13b-local-train/outputs/visualizations/00095_train__002__-guardrail_missing-76-_jpg.rf.33e758df448a9dfe26f778b35004dd9e__guardrail_missing_mask0.txt
